GEO.id,GEO.id2,GEO.display-label,HD01_VD01
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",5629
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",2522
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",3085
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",4403
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",8051
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",5508
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",1613
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",1594
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",6168
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",5409
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",3353
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",3149
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",1351
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",2659
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",4475
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",3009
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",3500
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",4884
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",1688
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",1074
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",4719
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",3924
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",2536
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",8177
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",3999
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",6358
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",5371
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",2504
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",4931
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",4491
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",2086
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",1954
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",3698
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",0
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",2457
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",7124
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",2709
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",5918
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",1787
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",6821
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",1736
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",1935
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",2849
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",6404
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",5524
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",6851
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",2993
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",5153
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",3534
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",6286
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",3286
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",7885
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",5096
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",3403
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",23
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",5606
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",7132
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",3978
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",2822
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",1028
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",2936
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",1130
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",3311
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",3184
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",4692
1400000US36005029301,36005029301,"Census Tract 293.01, Bronx County, New York",1759
1400000US36005029302,36005029302,"Census Tract 293.02, Bronx County, New York",5197
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",4399
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",2373
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",3562
