GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC03_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC03_EST_VC05,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC01_EST_VC08,HC02_EST_VC08,HC03_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC03_EST_VC09,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC01_EST_VC14,HC02_EST_VC14,HC03_EST_VC14,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC01_EST_VC16,HC02_EST_VC16,HC03_EST_VC16,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC01_EST_VC22,HC02_EST_VC22,HC03_EST_VC22,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC01_EST_VC25,HC02_EST_VC25,HC03_EST_VC25,HC01_EST_VC26,HC02_EST_VC26,HC03_EST_VC26,HC01_EST_VC27,HC02_EST_VC27,HC03_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28
1400000US36081024000,36081024000,"Census Tract 240, Queens County, New York",5308,700,13.2,641,63,9.8,,63,9.8,,63,9.8,714,34,4.8,,0,0.0,,0,0.0,,12,1.7,,23,3.2,,23,3.2,3495,397,11.4,,153,4.4,,212,6.1,,125,3.6,,164,4.7,,65,1.9,,122,3.5,458,206,45.0,,66,14.4,,28,6.1,,118,25.8,,183,40.0,,88,19.2,,147,32.1
1400000US36081024300,36081024300,"Census Tract 243, Queens County, New York",5312,609,11.5,302,0,0.0,,0,0.0,,0,0.0,466,7,1.5,,0,0.0,,0,0.0,,7,1.5,,0,0.0,,0,0.0,3587,227,6.3,,14,0.4,,59,1.6,,63,1.8,,117,3.3,,40,1.1,,80,2.2,957,375,39.2,,130,13.6,,50,5.2,,170,17.8,,282,29.5,,97,10.1,,237,24.8
1400000US36081024500,36081024500,"Census Tract 245, Queens County, New York",5490,537,9.8,184,0,0.0,,0,0.0,,0,0.0,843,8,0.9,,0,0.0,,0,0.0,,8,0.9,,0,0.0,,0,0.0,3344,130,3.9,,26,0.8,,2,0.1,,62,1.9,,105,3.1,,20,0.6,,54,1.6,1119,399,35.7,,127,11.3,,132,11.8,,86,7.7,,267,23.9,,77,6.9,,147,13.1
1400000US36081024600,36081024600,"Census Tract 246, Queens County, New York",0,0,,0,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,
1400000US36081024700,36081024700,"Census Tract 247, Queens County, New York",1341,57,4.3,62,0,0.0,,0,0.0,,0,0.0,233,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,959,16,1.7,,0,0.0,,5,0.5,,5,0.5,,11,1.1,,0,0.0,,0,0.0,87,41,47.1,,8,9.2,,8,9.2,,0,0.0,,41,47.1,,0,0.0,,18,20.7
1400000US36081024900,36081024900,"Census Tract 249, Queens County, New York",5410,257,4.8,244,0,0.0,,0,0.0,,0,0.0,560,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,4075,93,2.3,,2,0.0,,13,0.3,,62,1.5,,46,1.1,,14,0.3,,14,0.3,531,164,30.9,,70,13.2,,14,2.6,,84,15.8,,153,28.8,,51,9.6,,95,17.9
1400000US36081025100,36081025100,"Census Tract 251, Queens County, New York",6010,608,10.1,262,0,0.0,,0,0.0,,0,0.0,768,13,1.7,,0,0.0,,0,0.0,,0,0.0,,13,1.7,,0,0.0,4137,286,6.9,,73,1.8,,96,2.3,,98,2.4,,132,3.2,,16,0.4,,129,3.1,843,309,36.7,,74,8.8,,28,3.3,,67,7.9,,227,26.9,,102,12.1,,131,15.5
1400000US36081025301,36081025301,"Census Tract 253.01, Queens County, New York",4636,245,5.3,118,0,0.0,,0,0.0,,0,0.0,599,18,3.0,,0,0.0,,18,3.0,,18,3.0,,0,0.0,,18,3.0,3491,146,4.2,,28,0.8,,53,1.5,,42,1.2,,65,1.9,,0,0.0,,17,0.5,428,81,18.9,,45,10.5,,0,0.0,,0,0.0,,52,12.1,,7,1.6,,35,8.2
1400000US36081025302,36081025302,"Census Tract 253.02, Queens County, New York",2570,121,4.7,65,0,0.0,,0,0.0,,0,0.0,352,6,1.7,,0,0.0,,6,1.7,,0,0.0,,0,0.0,,0,0.0,1988,41,2.1,,0,0.0,,0,0.0,,0,0.0,,41,2.1,,0,0.0,,0,0.0,165,74,44.8,,13,7.9,,5,3.0,,9,5.5,,47,28.5,,7,4.2,,12,7.3
1400000US36081025400,36081025400,"Census Tract 254, Queens County, New York",8232,1284,15.6,662,0,0.0,,0,0.0,,0,0.0,1408,56,4.0,,0,0.0,,7,0.5,,56,4.0,,0,0.0,,10,0.7,5096,570,11.2,,147,2.9,,105,2.1,,201,3.9,,319,6.3,,53,1.0,,127,2.5,1066,658,61.7,,148,13.9,,225,21.1,,219,20.5,,375,35.2,,80,7.5,,245,23.0
1400000US36081025500,36081025500,"Census Tract 255, Queens County, New York",1359,61,4.5,143,0,0.0,,0,0.0,,0,0.0,135,6,4.4,,0,0.0,,0,0.0,,6,4.4,,0,0.0,,0,0.0,977,28,2.9,,0,0.0,,0,0.0,,22,2.3,,21,2.1,,6,0.6,,7,0.7,104,27,26.0,,11,10.6,,5,4.8,,0,0.0,,27,26.0,,0,0.0,,16,15.4
